"Index";"Vol_mm3"
"1964";716.017513919344
"1965";503.63741584656
"1966";667.78578610946
"1967";568.743981569612
"1968";1216.73319974776
"1969";558.062715399437
"1970";275.762808070349
"1971";602.269028512759
"1972";556.835395269551
"1973";650.059637283917
"1974";453.095917129106
"1975";389.208532808288
"1976";896.164995000081
"1977";842.633327743368
"1978";856.412193657804
"1979";754.06281020028
"1980";650.917459178413
"1981";435.540681584251
"1982";365.031628445958
"1983";352.711222526717
"1984";578.783916000828
"1985";475.840405424726
"1986";688.201
"1987";536.824
"1988";598.446
"1989";573.582
"1990";569.269
"1991";330.482
"1992";949.436
"1993";260.183
"1994";430.169
"1995";577.293
"1996";502.513
"1997";1055.812
"1998";792.781
"1999";640.843
